"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning Based Ransomware Detection Using Storage Access Patterns Obtained From Live-forensic Hypervisor","M. Hirano; R. Kobayashi","Department of Information and Computer Engineering, National Institute of Technology, Toyota, Japan; Faculty of Informatics, Kogakuin University, Tokyo, Japan","2019 Sixth International Conference on Internet of Things: Systems, Management and Security (IOTSMS)","23 Dec 2019","2019","","","1","6","With the rapid increase in the number of Internet of Things (IoT) devices, mobile devices, cloud services, and cyber-physical systems, the large-scale cyber attacks on enterprises and public sectors have increased. In particular, ransomware attacks damaged UK's National Health Service and many enterprises around the world in 2017. Therefore, researchers have proposed ransomware detection and prevention systems. However, manual inspection in static and dynamic ransomware analysis is time-consuming and it cannot cope with the rapid increase in variants of ransomware family. Recently, machine learning has been used to automate ransomware analysis by creating a behavioral model of same ransomware family. To create effective behavioral models of ransomware, we first obtained storage access patterns of live ransomware samples and of a benign application by using a live-forensic hypervisor called WaybackVisor. To distinguish ransomware from a benign application that has similar behavior to ransomware, we carefully selected five dimensional features that were extracted both from actual ransomware's Input and Output (I/O) logs and from a benign program's I/O logs. We created and evaluated machine learning models by using Random Forest, Support Vector Machine, and K-Nearest Neighbors. Our experiments using the proposed five features of storage access patterns achieved F-measure rate of 98%.","","978-1-7281-2949-5","10.1109/IOTSMS48152.2019.8939214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939214","Machine learning;Ransomware;Dynamic analysis;Behavioral model;Zero-day attacks","Ransomware;Entropy;Cryptography;Feature extraction;Machine learning;Operating systems","","11","","14","IEEE","23 Dec 2019","","","IEEE","IEEE Conferences"
"A survey on biometrie template protection using cancelable biometric scheme","D. R. Rachapalli; H. K. Kalluri","Department of Computer Science & Engineering, Srikalahasteeswara Institute of Technology, Srikalahasti, Andhra Pradesh, India; Department of Computer Science & Engineering, Vignan's Foundation for Science Technology and Research University, Andhra Pradesh, India","2017 Second International Conference on Electrical, Computer and Communication Technologies (ICECCT)","23 Nov 2017","2017","","","1","4","Biometric template protection techniques like biometric cryptosystems and cancelable biometrics are most widely used in many large-scale biometric systems. Though generic biometric cryptosystems differ from other conventional cryptosystems, still it is insufficient to overcome the challenges ahead of identity frauds and vulnerabilities to major attacks. In recent years it's been used as promising primitives in many Internet of Things (IoT) devices and third party Intellectual Property protections with the name called cancelable biometrics where both user-defined random transformations are combined with biometric template vectors. However, protection over biometric templates (e.g., retina, iris, and palmprint) needs to be improved. In this work, the analysis presents biometric cryptosystems and cancelable biometrics with major outlook to recent prospects like obfuscation and multi-object biometric system.","","978-1-5090-3239-6","10.1109/ICECCT.2017.8117828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8117828","biometrics;cancelable biometrics;biometric cryptosystems;irrevocability;obfuscation;etc","Cryptography;Fingerprint recognition;Feature extraction;Biomedical imaging;Measurement","","6","","33","IEEE","23 Nov 2017","","","IEEE","IEEE Conferences"
"Smart sensing for IoT applications","Wai Lee; A. Sharma","Texas Instruments Incorporated, Dallas, TX, USA; Texas Instruments Incorporated, Dallas, TX, USA","2016 13th IEEE International Conference on Solid-State and Integrated Circuit Technology (ICSICT)","3 Aug 2017","2016","","","362","364","Large scale deployment of sensing nodes for Internet of Things (IoT) applications will be an energy constrained system. To improve the energy efficiency in such systems, making sensors more intelligent will be an important tool. In this paper, we will discuss three emerging trends for smart sensing: (1) Integration of sensing elements with low-power in-situ signal processing on the same chip or package, (2) Integration of multiple sensing modalities on the same chip or package to provide more useful data to the end application, and (3) Compressive sensing techniques to extract the useful information from raw sensor output.","","978-1-4673-9719-3","10.1109/ICSICT.2016.7998921","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7998921","","Electronics packaging","","3","","9","IEEE","3 Aug 2017","","","IEEE","IEEE Conferences"
"Delay Performance of Multi-Antenna Multicasting in Wireless Networks","M. Kountouris; A. Avranas","Mathematical and Algorithmic Sciences Lab Paris Research Center, Huawei Technologies Co., Ltd. 20 Quai du Point du Jour, Boulogne-Billancourt, France; Mathematical and Algorithmic Sciences Lab Paris Research Center, Huawei Technologies Co., Ltd. 20 Quai du Point du Jour, Boulogne-Billancourt, France","2018 IEEE 19th International Workshop on Signal Processing Advances in Wireless Communications (SPAWC)","26 Aug 2018","2018","","","1","5","Low-latency communication is currently attracting significant attention due to the emergence of mission-critical Internet of Things (IoT) applications and content-centric services. A deep understanding of the delay performance is essential for efficient wireless system design and end-to-end latency guarantees. In this paper, we investigate the network-layer performance of physical layer multi-antenna multicasting, i.e., when the same data is simultaneously conveyed to multiple users. We provide a statistical characterization of the service process in terms of its Mellin transform and derive probabilistic delay bounds using tools from stochastic network calculus. Furthermore, using extreme value theory, we characterize the service process for very large number of users and derive scaling laws as the number of antennas an d/or users is taken to infinity. Our results can be used for system dimensioning to guarantee the delay requirements in wireless multicast networks.","1948-3252","978-1-5386-3512-4","10.1109/SPAWC.2018.8445868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8445868","Physical layer multicasting;delay performance;stochastic network calculus;extreme value theory;IoT;URLLC","Delays;Multicast communication;Transforms;Signal to noise ratio;Wireless communication;Physical layer;5G mobile communication","","2","","16","IEEE","26 Aug 2018","","","IEEE","IEEE Conferences"
"IoT-based pulmonary monitoring system","K. J. P. Ortiz; C. A. Diaz; A. M. Lim; D. A. Sibayan","Computer Engineering Department, Malayan Colleges Laguna, Cabuyao City, Laguna, Philippines; Computer Engineering Department, Malayan Colleges Laguna, Cabuyao City, Laguna, Philippines; Computer Engineering Department, Malayan Colleges Laguna, Cabuyao City, Laguna, Philippines; Computer Engineering Department, Malayan Colleges Laguna, Cabuyao City, Laguna, Philippines","2017 IEEE 6th Global Conference on Consumer Electronics (GCCE)","21 Dec 2017","2017","","","1","5","Common hospital monitoring set up includes nurses taking rounds throughout their assigned wards and checking the patient's vital signs. This process is very time consuming and prone to human errors, especially for large scale hospitals. As a solution, an Internet of Things (IoT) based pulmonary monitoring system was proposed. The system uses a single-lead heart rate sensor connected to a microcontroller that is plugged to a computer that has an application which is capable of processing pulmonary rates by passing the data to a C# and MATLAB program and plotting waveforms from the derivation of the Electrocardiogram (ECG) readings (ECG-Derived Respiration or EDR), and forward the information to the Internet to be stored in a database. The collected information can be viewed in a website and accessed by relevant individuals (doctors and patient's relative). The critical value generated from the t-test is 1.701 and 2.048 for the one-tail and two-tail test, respectively. These values lie in the non-critical region indicating that there was no significant difference between the two sample sets. The average percent difference between the EDR rates is 4.1362%. The percent reliability in detecting respiration conditions is 93.3333%. The patient records were also validated to be stored in the database, as indicated by the results displayed in the website after data transmission. Testing of the device showed that it is functional and reliable.","","978-1-5090-4045-2","10.1109/GCCE.2017.8229446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8229446","Internet of Things;C#;MATLAB;Electrocardiography — Derived Respiration;single-lead","Electrocardiography;Monitoring;C# languages;Prototypes;Microcontrollers;Databases;Conferences","","1","","7","IEEE","21 Dec 2017","","","IEEE","IEEE Conferences"
"IoT Securing System using Fuzzy Commitment for DCT-based Fingerprint Recognition","A. Bentahar; A. Meraoumia; H. Bendjenna; A. Zeroual","LAboratory of Mathematics, Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, Algeria; LAboratory of Mathematics, Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, Algeria; LAboratory of Mathematics, Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, Algeria; LAboratory of Mathematics, Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, Algeria","2018 3rd International Conference on Pattern Analysis and Intelligent Systems (PAIS)","3 Jan 2019","2018","","","1","5","Internet of Things refers to a paradigm consisting of a variety of uniquely identifiable day to day things communicating with one another to form a large scale dynamic network. Securing access to this network is a current challenging issue. This paper proposes an encryption system suitable to IoT features. In this system we integrated the fuzzy commitment scheme in DCT-based recognition method for fingerprint. To demonstrate the efficiency of our scheme, the obtained results are analyzed and compared with direct matching (without encryption) according to the most used criteria; FAR and FRR.","","978-1-5386-4238-2","10.1109/PAIS.2018.8598511","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8598511","IOT security;DCT;fingerprint recognition;biometric encryption;error-corrector codes;fuzzy commitment","Fingerprint recognition;Authentication;Feature extraction;Databases;Encryption;Servers;Discrete cosine transforms","","1","","39","IEEE","3 Jan 2019","","","IEEE","IEEE Conferences"
"VEREDELE-FACDS Field Trial: Wide Area Power Quality Assessment With IOT Sensors and Cloud-Based Analytics","C. Ruester; F. Haussel; T. Huehn; N. El Sayed",NA; NA; NA; NA,"International ETG Congress 2017","1 Feb 2018","2017","","","1","5","With the increasing share of renewable generation in low voltage distribution, the edge of the power grid is slowly replacing classical, large-scale power stations, taking up roles and responsibilities that were unimaginable only a few years ago. However, while feed-in on the 400V level is now commonplace, grid state and power quality monitoring still lag far behind because of obvious cost and complexity reasons. In fact, only very few parts of Germanys approx. 1,1 million km long 400V distribution grid are actively monitored today and even basic grid quality parameters such as the voltage level at the end of the line are typically unknown. Reducing the cost per measurement point and the complexity of data analysis is thus of paramount importance for enabling wide-area monitoring of the LV power grid. The authors explore the feasibility of this goal by examining the performance of a nonconventional measurement system. It consists of a network of Internet-of-Things (IOT)-based power quality sensors, connected to a cloud-based big data analysis platform. Specifically, measurement nodes comprise of voltage sensors attached to consumer-grade smartphones and WIFI access points. Sensor data is automatically uploaded to the cloud system with the MQTT protocol. First results from a field trial in a rural area in Germany indicate good data quality and show excellent promise for detailed assessments of the edge of the power grid.","","978-3-8007-4505-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8278765","","","","","","","","1 Feb 2018","","","VDE","VDE Conferences"
"Efficient Multisensor Localization for the Internet of Things: Exploring a New Class of Scalable Localization Algorithms","M. Z. Win; F. Meyer; Z. Liu; W. Dai; S. Bartoletti; A. Conti","Massachusetts Institute of Technology (MIT); Information and Network Sciences Laboratory, Massachusetts Institute of Technology; Electronic engineering, Tsinghua University; Electronic engineering and mathematics, Tsinghua University; Information engineering, University of Ferrara; Electronic engineering and computer science, University of Bologna","IEEE Signal Processing Magazine","3 Sep 2018","2018","35","5","153","167","In the era of the Internet of Things (IoT), efficient localization is essential for emerging mass-market services and applications. IoT devices are heterogeneous in signaling, sensing, and mobility, and their resources for computation and communication are typically limited. Therefore, to enable location awareness in large-scale IoT networks, there is a need for efficient, scalable, and distributed multisensor fusion algorithms. This article presents a framework for designing network localization and navigation (NLN) for the IoT. Multisensor localization and operation algorithms developed within NLN can exploit spatiotemporal cooperation, are suitable for arbitrary, largenetwork sizes, and only rely on an information exchange among neighboring devices. The advantages of NLN are evaluated in a large-scale IoT network with 500 agents. In particular, because of multisensor fusion and cooperation, the presented network localization and operation algorithms can provide attractive localization performance and reduce communication overhead and energy consumption.","1558-0792","","10.1109/MSP.2018.2845907","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8454389","","Sensors;Time measurement;Signal processing algorithms;Navigation;Position measurement;Current measurement;Measurement uncertainty","","114","","30","IEEE","3 Sep 2018","","","IEEE","IEEE Magazines"
"Activity Detection for Massive Connectivity Under Frequency Offsets via First-Order Algorithms","Y. Li; M. Xia; Y. -C. Wu","Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong; School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong","IEEE Transactions on Wireless Communications","11 Mar 2019","2019","18","3","1988","2002","Activity detection in machine-type communication (MTC) has been recognized as an effective way to support massive connectivity of the Internet-of-Things (IoT) devices. However, due to the sporadic traffic pattern of the MTC, only a small portion of the massive potential devices are active, making the activity detection a challenging large-scale sparsity-constrained problem. On the other hand, since the low-cost IoT devices are commonly equipped with cheap crystal oscillators, the resulting frequency offsets would intensify the multi-user interference during the activity detection and invalidate existing detection methods that are designed under ideal frequency synchronization. To fill this gap, this paper proposes two methods for activity detection under unknown frequency offsets: a Lasso-based method and a sparsity-constrained method. Both the methods are first-order algorithms, making them suitable for large-scale IoT systems. Furthermore, the sparsity-constrained method can be executed in parallel and is proved to converge to a set of critical points. The simulation results show that both the proposed methods achieve much better detection performance than a two-stage approach that separately performs frequency synchronization and activity detection. Moreover, the proposed sparsity-constrained method is shown to perform better than two competing algorithms exploiting hierarchical sparsity.","1558-2248","","10.1109/TWC.2019.2901482","National Natural Science Foundation of China(grant numbers:61671488); Major Science and Technology Special Project for “New Generation Communication and Network,” Guangdong Province, China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8657965","First-order algorithm;frequency offset;Internet-of-Things (IoT);machine-type communication (MTC);massive connectivity;nonsmooth optimization","Wireless communication;Frequency synchronization;Approximation algorithms;Cost function;Crystals;Oscillators","","22","","51","IEEE","5 Mar 2019","","","IEEE","IEEE Journals"
"Practical timing synchronization for network dynamics in large machine-to-machine networks","L. Gu; S. -C. Lin","Fudan University, Shanghai, Shanghai, CN; Georgia Institute of Technology, Atlanta, GA, US","China Communications","3 Nov 2016","2016","13","10","160","168","Efficient multi-machine cooperation and network dynamics still remain open that jeopardize great applications in large-scale machine-to-machine (M2M) networks. Among all possible machine cooperation controls, to synchronize tremendous machines in a timing-efficient brings one of the greatest challenge and serves as the foundation for any other network control policies. In this paper, we propose a linear-time synchronization protocol in large M2M networks. Specifically, a closed-form of synchronization rate is provided by developing the statistical bounds of the second smallest eigenvalue of the graph Laplacian matrix. These bounds enable the efficient control of network dynamics, facilitating the timing synchronization in networks. Through a practical study in Metropolis, simulation results confirm our theoretical analysis and provide effective selection of wireless technologies, including Zigbee, Wi-Fi, and cellular systems, with respect to the deployed density of machines. Therefore, this paper successfully demonstrates a practical timing synchronization, to make a breakthrough of network dynamic control in real-world machine systems, such as Internet of Things.","1673-5447","","10.1109/CC.2016.7733041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733041","timing synchronization;network dynamics;graph Laplacian matrix;distributed protocol;internet of things (IoTs);machine-to-machine (M2M) communications","Synchronization;Machine-to-machine communications;Protocols;Ad hoc networks;Laplace equations;Symmetric matrices","","","","","","3 Nov 2016","","","IEEE","IEEE Magazines"
"Optimization for data-driven wireless sensor scheduling","M. M. Vasconcelos; U. Mitra","Department of Electrical Engineering, University of Southern California, Los Angeles, CA, USA; Department of Electrical Engineering, University of Southern California, Los Angeles, CA, USA","2019 53rd Asilomar Conference on Signals, Systems, and Computers","30 Mar 2020","2019","","","215","219","Modern large-scale distributed systems such as cyber-physical systems and the Internet of Things often consist of components that communicate/interact over shared networks of limited bandwidth and operate with minimal delay. One way to model this constraint is to assume that, at any time instant, only a single packet can be reliably transmitted over the network to its destination. In order to coordinate access to this limited communication resource, it is common to use some form of medium access control (MAC) scheme. The goal herein is to optimize the MAC to maximize performance. The design of scheduling policies for sensors making arbitrarily distributed random observations is considered. It is shown that the scheduler design can be expressed as a difference-of-convex functions optimization problem, which can be solved using the convex-concave procedure. Furthermore, this approach leads naturally to the application of data-driven approaches, where the design of scheduling policies where the joint probability density of the observations is unknown can be achieved by using an approximate sub-gradient method to solve an empirical risk minimization problem.","2576-2303","978-1-7281-4300-2","10.1109/IEEECONF44664.2019.9048680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9048680","","Bandwidth;Estimation;Internet of Things;Unicast;Optimization;Wireless sensor networks;Wireless communication","","","","11","IEEE","30 Mar 2020","","","IEEE","IEEE Conferences"
"Data mining techniques for IoT and big data — A survey","A. Shobanadevi; G. Maragatham","Department of Information & Technology, SRM University, Chennai, India; Department of Information & Technology, SRM University, Chennai, India","2017 International Conference on Intelligent Sustainable Systems (ICISS)","21 Jun 2018","2017","","","607","610","Data Mining is the discovery of “models” of data. Data dredging is a process of derogatory referring to attempts for extracting information that was not supported by the data. Today, data mining is more similar to machine learning and most techniques uses algorithms from machine learning in order to discover unusual events hidden within the large amounts of data. The recent advancements in communication technology, people and the things are becoming increasingly interconnected. The availability of the Internet makes it possible to connect various devices that can communicate with each other and share data. The Internet of Things (IoT) is a new concept that allows users to connect various sensors and smart devices to collect real-time data from the environment. Big Data is a vast amount of data collected from IoT environment and it applies to information that can't be processed or analyzed using traditional tools. Every organization is facing more and more challenges to access a wealth of information and how to get values out of large variety of data. As creation of data is much easier than analyzing it, there is a need for Novel approaches in data mining techniques to deal with huge data. From the perspective of software, the traditional mining algorithms are applicable only for small scale IoT data. This paper first focuses on a review of existing techniques and data mining algorithms that are used to process massive data of IoT and also the limitations are discussed. Second, the work and advancements related to data mining algorithms that are implemented with Hadoop and Spark technology are presented. Third, Hybrid data mining algorithms using MapReduce framework are reviewed. Finally, open research challenges and issues are presented as a conclusion.","","978-1-5386-1959-9","10.1109/ISS1.2017.8389260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8389260","Big Data;Data Mining;Hadoop;IoT;MapReduce","Data mining;Big Data;Task analysis;Servers;Internet of Things;Sparks;Distributed databases","","7","","35","IEEE","21 Jun 2018","","","IEEE","IEEE Conferences"
"Opportunistic vehicular networking: Large-scale bus movement traces as base for network analysis","M. Doering; L. Wolf","Institute of Operating Systems and Computer Networks Technische Universitat Braunschweig, Braunschweig, Germany; Institute of Operating Systems and Computer Networks Technische Universitat Braunschweig, Braunschweig, Germany","2015 International Conference on High Performance Computing & Simulation (HPCS)","3 Sep 2015","2015","","","671","678","In many road traffic scenarios the ability to communicate among traffic participants is very helpful. Therefore, research and development in academia and industry in that field exists already for many years and is ongoing in several directions. Some examples are Vehicular Ad-hoc Networks (VANETs), e.g., using technologies like IEEE 802.11p, and vehicles communicating with backend systems, e.g., using 2/3/4G cellular networks. In opportunistic vehicular networks, vehicles may not only exchange data for the immediate use such as Cooperative Awareness Messages (CAMs) in the ETSI Intelligent Transport Systems (ITS). Instead, a more general type of network might be set up, also for application scenarios beyond direct road traffic related aspects. For instance, buses of public transportation systems could collect data from the field or distribute data among several buses. Thus, buses could become an important part of smart cities or Internet of Things (IoT) application scenarios. Important questions are then, e.g., how much data could be distributed in such a bus-based opportunistic network or how often is it possible to exchange data between buses. Usually, buses in urban public transport systems follow well planned but nevertheless highly dynamic schedules and trajectories. Thus, traffic conditions have a significant and complex influence on bus mobility, causing very characteristic movement properties that are considerably distinct from other road vehicles. Understanding these special characteristics is essential for the design and evaluation of opportunistic vehicular communication networks. For this purpose we inspect two large-scale bus movement traces and describe the available data and metadata. Moreover, we analyze and compare vehicle density, speed, update intervals, and characteristics that are specific to public transport. Especially for large cities, but even for smaller ones if many devices like vehicles, sensors, and various other IoT things are part of such a network, high-performance computing and simulation approaches are necessary to study, analyse, design, use and maintain such a system.","","978-1-4673-7813-0","10.1109/HPCSim.2015.7237118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7237118","VANET;Vehicular Networking;Opportunistic Networking;Movement Traces;Urban Public Transport;Delay Tolerant Networks","Vehicles;Ad hoc networks;Vehicle dynamics;Roads;Global Positioning System;Sensors","","6","","23","IEEE","3 Sep 2015","","","IEEE","IEEE Conferences"
"First Mile Challenges for Large-Scale IoT","A. Bader; H. ElSawy; M. Gharbieh; M. -S. Alouini; A. Adinoyi; F. Alshaalan",King Abdullah University of Science and Technology (KAUST); King Abdullah University of Science and Technology (KAUST); King Abdullah University of Science and Technology (KAUST); King Abdullah University of Science and Technology (KAUST); Saudi Telecom Company (STC); Saudi Telecom Company (STC),"IEEE Communications Magazine","13 Mar 2017","2017","55","3","138","144","The Internet of Things is large-scale by nature. This is not only manifested by the large number of connected devices, but also by the sheer scale of spatial traffic intensity that must be accommodated, primarily in the uplink direction. To that end, cellular networks are indeed a strong first mile candidate to accommodate the data tsunami to be generated by the IoT. However, IoT devices are required in the cellular paradigm to undergo random access procedures as a precursor to resource allocation. Such procedures impose a major bottleneck that hinders cellular networks' ability to support large-scale IoT. In this article, we shed light on the random access dilemma and present a case study based on experimental data as well as system-level simulations. Accordingly, a case is built for the latent need to revisit random access procedures. A call for action is motivated by listing a few potential remedies and recommendations.","1558-1896","","10.1109/MCOM.2017.1600604CM","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876971","","Internet of Things;Large-scale systems;Big Data;Cellular networks","","29","","15","IEEE","13 Mar 2017","","","IEEE","IEEE Magazines"
"Social Intimacy Based IoT Services Mining of Massive Data","A. Zhou; Y. Feng; P. Zhou; J. Xu","School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, Hubei, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, Hubei, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, Hubei, China; Department of Electrical and Computer Engineering, University of Miami Coral Gables, Florida, USA","2017 IEEE International Conference on Data Mining Workshops (ICDMW)","18 Dec 2017","2017","","","641","648","Due to the advances of wireless sensor networks, radiofrequency identification (RFID) and Web-based services, large volume of devices have been interconnected to the Internet of Things (IoT). In addition, the tremendous number of IoT services provided by service providers arises an urgent need to propose effective recommendation methods to discover suitable services to users. In this paper, we propose an online learning system for IoT service recommendation based on a contextual multi-armed bandit algorithm. Our system learns online probably useful services for users which are not known by them based on context (e.g. spatiotemporal information, users type, device settings, etc.). We cluster services and contexts online as tree structures for computational efficiency. This approach significantly improves recommendation accuracy compared to other IoT recommendation algorithms and bandit approaches. Fusing the user-centered context with service-centered context, the system addresses the cold start problem and performs well even when users and services are in large scale. Furthermore, experiments based on massive dataset prove that our system achieves sublinear regret in the long-run and reduces the storage complexity to sublinear level, which means our algorithm provides online big data support. The experiments perfectly validate our theoretical analysis.","2375-9259","978-1-5386-3800-2","10.1109/ICDMW.2017.91","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8215723","","Servers;Clustering algorithms;Big Data;Algorithm design and analysis;Protocols;Complexity theory","","5","","14","IEEE","18 Dec 2017","","","IEEE","IEEE Conferences"
"Device Activity and Embedded Information Bit Detection Using AMP in Massive MIMO","K. Senel; E. G. Larsson","Dept. of Electrical Engineering, Linköping University, Linköping, Sweden; Dept. of Electrical Engineering, Linköping University, Linköping, Sweden","2017 IEEE Globecom Workshops (GC Wkshps)","25 Jan 2018","2017","","","1","6","Future cellular networks will support a massive number of devices as a result of emerging technologies such as Internet-of-Things and sensor networks. Enhanced by machine type communication (MTC), low-power low-complex devices in the order of billions are projected to receive service from cellular networks. Contrary to traditional networks which are designed to handle human driven traffic, future networks must cope with MTC based systems that exhibit sparse traffic properties, operate with small packets and contain a large number of devices. Such a system requires smarter control signaling schemes for efficient use of system resources. In this work, we consider a grant-free random access cellular network and propose an approach which jointly detects user activity and single information bit per packet. The proposed approach is inspired by the approximate message passing (AMP) and demonstrates a superior performance compared to the original AMP approach. Furthermore, the numerical analysis reveals that the performance of the proposed approach scales with number of devices, which makes it suitable for user detection in cellular networks with massive number of devices.","","978-1-5386-3920-7","10.1109/GLOCOMW.2017.8269163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8269163","","Antennas","","24","","17","IEEE","25 Jan 2018","","","IEEE","IEEE Conferences"
"Autonomous Grocery Delivery Service in Urban Areas","M. Kocsis; J. Buyer; N. Sußmann; R. Zöllner; G. Mogan","Automotive Systems Engineering, Heilbronn University, Heilbronn, Germany; Automotive Systems Engineering, Heilbronn University, Heilbronn, Germany; Automotive Systems Engineering, Heilbronn University, Heilbronn, Baden-WÃ¼rttemberg, DE; Automotive Systems Engineering, Heilbronn University, Heilbronn, Germany; Faculty of Mechanical Engineering, Universitatea TRANSILVANIA (Faculty of Mechanical Engineering), Brasov, Romania","2017 IEEE 19th International Conference on High Performance Computing and Communications; IEEE 15th International Conference on Smart City; IEEE 3rd International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","15 Feb 2018","2017","","","186","191","In big cities around the world air pollution is reaching harmful levels. One of the reasons for air contamination is the automotive emissions. Soft appeals by the authorities to the citizens did not change much of the situation. Many people use the car in everyday activities, e.g. going to work or every day food shopping in supermarkets. Recent studies showed that a replacement of the current vehicles through autonomous vehicles would help in reducing these emissions. A radical replacement is not possible. The actual infrastructure needs to be extended by technologies that facilitate autonomous driving. Therefor integration of knowhow from other domains like internet of things, big data analysis or transportation planning has to be considered. This paper presents a smart service where, based on the information provided by principals of industry 4.0 and internet of things, the planning of an autonomous grocery delivery fleet occurs. This service is implemented then at a smaller scale, as an autonomous ordering and delivery system for coffees, and realised at the Heilbronn University. Furthermore, the paper presents the benefits and the limitations of this kind of system.","","978-1-5386-2588-0","10.1109/HPCC-SmartCity-DSS.2017.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291927","autonomous electric vehicles;automotive emission reduction;sustainability","Autonomous vehicles;Urban areas;Planning;Servers;Automobiles;Automotive engineering;Sensors","","8","","47","IEEE","15 Feb 2018","","","IEEE","IEEE Conferences"
"Resilient Overlays for IoT-Based Community Infrastructure Communications","K. E. Benson; Q. Han; K. Kim; P. Nguyen; N. Venkatasubramanian","Donald Bren School of Information and Computer Science, UC Irvine; Donald Bren School of Information and Computer Science, UC Irvine; Department of Electronics and Computer Engineering, Chonnam National University; The Henry Samueli School of Engineering, UC Irvine; Donald Bren School of Information and Computer Science, UC Irvine","2016 IEEE First International Conference on Internet-of-Things Design and Implementation (IoTDI)","19 May 2016","2016","","","152","163","This paper considers the reliable delivery of sensor data from Internet of Things (IoT) devices to distributed cloud service instances in the face of localized failures for event detection, community infrastructure management, and emergency response. We develop and explore the notion of GEOgraphically Correlated Resilient Overlay Networks (GeoCRON) to capture the localized nature of community IoT deployments and their impact/vulnerability in the context of small failures and massive disruptions such as that caused by a large seismic event. As a focus use case, we study the viability and utility of GeoCRON in two different community sensor networks. The first, a large participatory sensing-style network of small inexpensive seismic sensors, reports ground motion in homes and businesses to a cloud service for detecting and characterizing earthquakes. The second, a smaller infrastructure-based network of wireless devices embedded in the water distribution network, reports water pressure changes at pipe junctions that may be indicative of leaks that require human intervention. Using realistic topologies derived from experiences with real world community scale deployments, we study the impact of geo-correlated failures on the combined network infrastructure and evaluate a range of GeoCRON heuristics to improve commnunications resilience in this context. We validate the promise of the proposed GeoCRON-based approach using extensive simulations and an initial prototype system implementation.","","978-1-4673-9948-7","10.1109/IoTDI.2015.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471359","internet-of-things;IoT;networks;resilient;sensing;infrastructure","Cloud computing;Resilience;Routing;Reliability;Wireless sensor networks;Wireless communication","","7","","27","IEEE","19 May 2016","","","IEEE","IEEE Conferences"
