"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Decision Support Platform for Production of Chili using IoT, Cloud Computing, and Machine Learning Approach","O. Elijah; S. K. A. Rahim; E. A. Abioye; M. J. Musa; Y. O. Salihu; A. A. Oremeyi","Wireless Communication Center School of Electrical Engineering Faculty of Engineering, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Wireless Communication Center School of Electrical Engineering Faculty of Engineering, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Dept. of Electrical Electronics Engineering, Akanu Ibiam Federal Polytechnic, Unwana, Ebonyi State, Nigeria; Dept. of Electronics and Telecommunications Engineering, Ahmadu Bello University, Zaria, Nigeria; Dept. of Computer Engineering, Kaduna Polytechnic, Kaduna, Nigeria; School of Engineering, Kogi State Polytechnic Lokoja, Nigeria","2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development (NIGERCON)","27 Jun 2022","2022","","","1","5","The chili crop is largely grown in several regions of the world, especially in Asian and African countries. It is a major source of income for both small- and large-scale farmers. Unfortunately, chili farmers have to contend with the challenge of pests and diseases and the need for timely decisions to have a bountiful production. To solve this problem, this paper proposes a chili-decision support platform (chili-DSP) that can help farmers detect diseases, and nutrient deficiency and make timely decisions. The proposed system integrates the internet of things, cloud computing, and data analytics technologies. The framework and architecture of the proposed chili-DSP are presented in this paper and the preliminary results using the convolutional neural network (CNN) for the classification of chili are presented. The result shows that CNN provides an accurate prediction of the learned data set and can be extended to larger data set for real-time classification of chili diseases. The chili-DSP is expected to provide a comprehensive feature and support that will help the chili farmers enhance the production of chili while minimizing losses.","2377-2697","978-1-6654-7978-3","10.1109/NIGERCON54645.2022.9803077","Universiti Teknologi Malaysia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9803077","chili;decision support platform;framework;machine learning;smart agriculture","Cloud computing;Production;Computer architecture;Object detection;Real-time systems;Convolutional neural networks;Sustainable development","","1","","16","IEEE","27 Jun 2022","","","IEEE","IEEE Conferences"
"Role of Neural Network, Fuzzy, and IoT in Integrating Artificial Intelligence as a Cyber Security System","P. Das; M. Illa; R. Pokhariyal; A. Latoria; Hemlata; D. J. B. Saini","School of Information Technology, AURO University, Surat, Gujarat; Artificial Intelligence & Data Science (AI&DS), Vignan's Institute Of Information Technology; Department of Computer Science & Engineering, Graphic Era Deemed to be University, Dehradun, Uttarakhand, India; School of Information Technology, AURO University, Surat, Gujarat; Department of Computer Science and Engineering, Central University of Haryana, Mahendergarh, Haryana; Department of Computer Science & Engineering, Sawmi Rama Himalayan University, Dehradun, India","2023 Second International Conference on Electronics and Renewable Systems (ICEARS)","5 Apr 2023","2023","","","652","658","The ""Internet of Things"" has a vast number interconnected devices. These interconnected devices collect vital data that may have a significant effect on the company, society, and the environment as a whole. IoT application has grown significantly in recent times, and with it, so do worries about cybersecurity. Artificial intelligence (AI) is at the forefront of the technology of cybersecurity and is employed to create intricate algorithms to safeguard systems and networks like IoT devices. But cybercriminals have learned how to take advantage of AI, and they have even started to deploy AI in analyzing cyberattacks. Due to the limited computing power and memory capacities of IoT systems, conventional high-end cybersecurity measures are inadequate to protect an IoT system. The need for accessible, distributed, and robust smart security systems is highlighted by this. Large- and small-scale heterogeneous datasets are no match for DL. In this research, a multilayer cybersecurity strategy based on DL is used to safeguard the TL of IoT systems. The developed framework tests the proposed multi-layer strategy using the intrusion identification statistics obtained from CIC-IDS (2018), ToN, and BoT-IoT. Consequently, depending on the analyzed parameters, the proposed model has outperformed the other approaches and achieved 98% accuracy.","","979-8-3503-4664-0","10.1109/ICEARS56392.2023.10084988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10084988","Artificial intelligence;IoT;neural network;fuzzy;cybersecurity","Training;Renewable energy sources;Artificial neural networks;Nonhomogeneous media;Solids;Internet of Things;Artificial intelligence","","","","37","IEEE","5 Apr 2023","","","IEEE","IEEE Conferences"
"Large-Scale Environmental Sensing of Remote Areas on a Budget","D. Wu; A. S. Bogdan; J. Liebeherr","Spero Analytics, Canada; Advanced Micro Devices Inc., Canada; University of Toronto, Canada","IEEE Internet of Things Magazine","6 Jun 2023","2023","6","2","130","136","By enabling large-scale in-situ environmental monitoring of remote areas, the Internet-of-Things (IoT) can play a crucial role in quantifying and responding to climate change. Sensing of uninhabited and many rural regions creates a need for inexpensive battery-powered IoT systems that can be deployed across large areas. Today, such systems are woefully unavailable. This article presents a scalable IoT architecture for low-cost and low-power in-situ environmental sensing. The architecture is anchored by self-organizing LoRa mesh networks that can be scaled to a hundred nodes, covering a hundred or more square kilometers, at a cost of less than US$15 per node. A low-power design enables nodes to operate for years on two AA batteries in many sensing applications. LoRa mesh networks connect to a cloud-based IoT backend via a battery-powered modular gateway, which supports Internet access over a WiFi network, a cellular network, and a low-earth orbit satellite system.","2576-3199","","10.1109/IOTM.001.2200185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10145041","","Mesh networks;Climate change;Costs;Satellites;Spread spectrum communication;Environmental management;Sensors;Soil measurements","","","","15","IEEE","6 Jun 2023","","","IEEE","IEEE Magazines"
"IoT based Smart Small Scale Solar Energy Planning using Evolutionary Fuzzy Association Rule Mining","W. Wedashwara; I. Wayan Agus Arimbawa; A. Hidayat Jatmika; A. Zubaidi; T. Mulyana","Dept of Informatics Engineering, Mataram University, Mataram, Indonesia; Dept of Technology Management, Economic, and Policy Seoul National University, Seoul, South Korea; Dept of Informatics Engineering, Mataram University, Mataram, Indonesia; Dept of Informatics Engineering, Mataram University, Mataram, Indonesia; Dept of Information System, Telkom University, Bandung, Indonesia","2020 International Conference on Advancement in Data Science, E-learning and Information Systems (ICADEIS)","11 Dec 2020","2020","","","1","6","Along-Track Stereo Sun Glitter (ATSSG) shows Indonesia especially Lombok has high solar energy potential, not only on large scale but also small scale such as for hybrid-based electricity savings. The amount of energy that can be saved through solar power is difficult to predict without measurement and planning. The paper proposed the Smart Small Scale Solar Energy Planning using Internet of Things (IoT) by collaborating Wireless Sensor Network (WSN) as data collector and Evolutionary Fuzzy Association Rule Mining (EFARM) as Decision Support System (DSS). WSN collects data generated solar energy by the solar panel and direct current (DC) energy usage by electrical devices. Then both collected data are processed by EFARM through an interpretation of tree-based fuzzy rule extractor to conclude the potential of energy efficiency. The Evaluation is carried out for two weeks using two solar panels with light intensity, temperature, and humidity sensors as a comparison for environment condition and generated energy. Through evaluation EFARM has shown the capability to Interpreted patterns of generated energy and energy consumption by achieving a high average of supports(0.247,0.236), confidence(0.393,0.219) and scores(0.335,0.127) for full-length rules; describe the rules correlation between generated energy and energy consumption to conclude the potential of energy efficiency, and make decision support for the number of panels and batteries to be added with relatively low mean square error (6.094).","","978-1-7281-8272-8","10.1109/ICADEIS49811.2020.9276905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9276905","EFARM;Solar Energy;Genetic Programming;IoT","Batteries;Solar energy;Solar panels;Standards;Wireless sensor networks;Temperature measurement;Planning","","3","","16","IEEE","11 Dec 2020","","","IEEE","IEEE Conferences"
"Aloe: Fault-Tolerant Network Management and Orchestration Framework for IoT Applications","S. Chattopadhyay; S. Chatterjee; S. Nandi; S. Chakraborty","Department of CSE, Indian Institute of Technology Guwahati, Guwahati, India; Department of CSE, Indian Institute of Technology Kharagpur, Kharagpur, India; Department of CSE, Indian Institute of Technology Guwahati, Guwahati, India; Department of CSE, Indian Institute of Technology Kharagpur, Kharagpur, India","IEEE Transactions on Network and Service Management","9 Dec 2020","2020","17","4","2396","2409","Internet of Things (IoT) platforms use a large number of low-cost resource constrained devices and generates millions of short-flows. In-network processing is gaining popularity day by day to handle IoT applications and services. However, traditional software-defined networking (SDN) based management systems are not suitable to handle the plug and play nature of such systems. In this paper, we propose Aloe, an auto-scalable SDN orchestration framework. Aloe exploits in-network processing framework by using multiple lightweight controller instances in place of service grade SDN controller applications. The proposed framework ensures the availability and significant reduction in flow-setup delay by deploying instances in the vicinity the resource constraint IoT devices dynamically. Aloe supports fault-tolerance with recovery from network partitioning by employing self-stabilizing placement of migration capable controller instances. Aloe also provides resource reservation for micro-controllers so that they can ensure the quality of services (QoS). The performance of the proposed system is measured by using an in-house testbed along with a large scale deployment in Amazon Web services (AWS) cloud platform. The experimental results from these two testbeds show significant improvement in response time for standard IoT based services. This improvement of performance is due to the reduction in flow-setup time. We found that Aloe can improve flow-setup time by around 10%-30% in comparison to one of the states of the art orchestration framework.","1932-4537","","10.1109/TNSM.2020.3008426","Science and Engineering Research Board (SERB) Early Career Research Award, File number: ECR/2017/000121 Dated 18/07/2017; Department of Science and Technology, Government of India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138447","Orchestration framework;fault-tolerance;programmable network;IoT;in-network processing;SDN","Internet of Things;Fault tolerance;Fault tolerant systems;Control systems;Delays;Computer architecture;Process control","","6","","40","IEEE","10 Jul 2020","","","IEEE","IEEE Journals"
"Towards avatar-based discovery for IoT services using social networking and clustering mechanisms","K. KHADIR; N. GUERMOUCHE; T. MONTEIL; A. GUITTOUM","LAAS-CNRS, Université de Toulouse, INSA, Toulouse, France; LAAS-CNRS, Université de Toulouse, INSA, Toulouse, France; LAAS-CNRS, Université de Toulouse, INSA, Toulouse, France; LAAS-CNRS, Université de Toulouse, INSA, Toulouse, France","2020 16th International Conference on Network and Service Management (CNSM)","30 Nov 2020","2020","","","1","7","The Internet of Things (IoT) paradigm is defined as a complex large scale and distributed, and dynamic infrastructure composed of a huge number of heterogeneous devices. Identifying particular services provided by a massive number of IoT devices remains a challenging problem. The classical centralized discovery approaches are no more suitable. In our previous work, we have proposed an avatar-based Fog-Cloud architecture to support IoT object management. The avatars are defined as virtual entities of heterogeneous IoT objects. They are endowed with reasoning capabilities that make them able to coordinate with each other to accomplish an IoT application. Through this paper, we propose to extend our previous work by a new distributed mechanism for efficient discovery of IoT services relying on Social Networking (SN) and clustering methods. This is particularly interesting in large scale IoT systems since it allows to reduce the search space so that only the neighboring social avatars most apt to participate in the collaboration to accomplish an IoT application are considered. The proposed solution has been evaluated in connected vehicles context.","2165-963X","978-3-903176-31-7","10.23919/CNSM50824.2020.9269040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9269040","Avatars;Social Web of Things;Fuzzy c-means;IoT Services;Distributed discovery;Semantic","Internet of Things;Avatars;Social networking (online);Task analysis;Semantics;Vehicle dynamics;Scalability","","4","","24","","30 Nov 2020","","","IEEE","IEEE Conferences"
"IoT for Water Quality Categorization","H. Sastrohartono; A. W. Krisdiarto; A. I. Uktoro; R. Rahutomo; T. Suparyanto; B. Pardamean","Agricultural Engineering Department, Faculty of Agricultural Technology, Institute of Agriculture STIPER, Yogyakarta, Indonesia; Agricultural Engineering Department, Faculty of Agricultural Technology, Institute of Agriculture STIPER, Yogyakarta, Indonesia; Agricultural Engineering Department, Faculty of Agricultural Technology, Institute of Agriculture STIPER, Yogyakarta, Indonesia; Information System Department, School of Information Systems, Bina Nusantara University, Jakarta, Indonesia; Bioinformatics & Data Science Research Center, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, BINUS Graduate Program Master of Computer Science, Bina Nusantara University, Jakarta, Indonesia","2023 5th International Conference on Cybernetics and Intelligent System (ICORIS)","18 Dec 2023","2023","","","1","5","In agricultural water research, the adoption of Internet of Things (IoT) technology has emerged as a pivotal approach for large-scale data collection. Water availability in the context of water quality is very important, both for domestic and industrial purposes. For domestic purposes, drinking water and bathing water are separated. Meanwhile, for the palm oil industry, boiler filler is differentiated from additional process water (dilution water). Water quality parameters can be assessed from turbidity and Total Dissolve Solid (TDS). Measurements using measuring instruments separately and repeatedly require significant energy, time, and costs. This research was conducted with the primary objective of presenting a novel method for categorizing water quality with the approach of IoT sensor technology. The research methodology entailed the utilization of an integrated IoT water sensors system in conjunction with manual water categorization. The methods consist of (1) system design, (2) design and installation of sensor and IoT-based microcontrollers, and (3) accuracy and precision testing compared with laboratory measurements. The precision of the integrated IoT water sensors was assessed through a dedicated sensor precision test, resulting in an accuracy rate of 94.4% for the turbidity sensor and 97.5% for the TDS sensor. Notably, this approach successfully discriminated drinking water with valid categorization, while other water types, including groundwater, water with tea, and water with coffee, yielded null categorization results.","","979-8-3503-6948-9","10.1109/ICORIS60118.2023.10352234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10352234","Internet of Things;water quality;water sensors;data categorization","Energy measurement;Turbidity;Solids;Time measurement;Sensor systems;Internet of Things;Petroleum industry","","","","29","IEEE","18 Dec 2023","","","IEEE","IEEE Conferences"
"Industry 4.0: Latin America SMEs Challenges","M. A. Mendoza P.; S. Cuellar","Catholic University, Bogota, Colombia; Catholic University, Bogota, Colombia","2020 Congreso Internacional de Innovación y Tendencias en Ingeniería (CONIITI)","2 Nov 2020","2020","","","1","6","In the light of several national advanced manufacturing strategies such as Industry 4.0, this article examines the challenges of Industry 4.0 adoption of Latin American small and medium-sized manufacturing firms (SMEs).The future of Industrial systems that has encompassed so many investigative processes in the last decade, surrounds the fourth industrial revolution, which covers the Internet of Things, Augmented Reality, real-time connection, Data Mining, Big Data, Cloud computing, Cyber Physical Systems (CPS), among others. The reality is that the majority of industries that have implemented these technologies are those large-scale companies with great leverage and long-term investment power. The development of this so-called Fourth Industrial Revolution is disconnected from the SMEs, despite the fact that in Latin America they represent more than 95% of registered companies. In this study, an analysis of scientific publications on small and medium-sized companies is carried out, in addition, some variables necessary for the real measurement of the application of Industry 4.0 in Latin America are proposed. Flexibility, quality, competitive advantage and cost benefit were key variables to create a suitable model to be implemented in SMEs.","","978-1-7281-9466-0","10.1109/CONIITI51147.2020.9240428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240428","Industry 4.0;SME;MSME;Latin America;IOT;CPS;Challenges 4.0","Industries;Productivity;Economics;Technological innovation;Companies;Sustainable development;Investment","","2","","40","IEEE","2 Nov 2020","","","IEEE","IEEE Conferences"
"Intelligent planning algorithm for time synchronization network for large-scale power IoT terminals","X. Libo; G. Ren; Z. Yu; D. Yawen; L. Yuxiang; W. Hui","Information & Telecommunication Branch, State Grid Liaoning Electric Power Co., Ltd., Shenyang, China; Shenyang Power Supply Company, State Grid Liaoning Electric Power Co., Ltd., Shenyang, China; Information & Telecommunication Branch, State Grid Liaoning Electric Power Co., Ltd., Shenyang, China; Anhui Jiyuan Software Co., Ltd., State Grid Information & Telecommunication Group Co., Ltd., Hefei, China; Anhui Jiyuan Software Co., Ltd., State Grid Information & Telecommunication Group Co., Ltd., Hefei, China; Anhui Jiyuan Software Co., Ltd., State Grid Information & Telecommunication Group Co., Ltd., Hefei, China","2022 IEEE 10th Joint International Information Technology and Artificial Intelligence Conference (ITAIC)","3 Aug 2022","2022","10","","2405","2408","The power system is a real-time balance system. The large-scale power Internet of Things terminal can realize real-time state perception and instantaneous control, which can effectively guarantee the stable and safe operation of the power grid. Information perception, transmission, processing and decision-making are very dependent on the time synchronization of each link, so it is necessary to unify large-scale power IOT terminals and systems to the same time standard, which is crucial for power grid operation control, fault analysis and improvement of user service quality. This article in view of the large power content union time synchronization between terminals and systems link planning intelligent algorithm is put forward, in a given network topology, automatic planning time synchronization backup link, at the same time caused by asymmetric error elimination method for fashion design link, improving on large power league, the stability of the terminal time of wide-area synchronized and terminal pair precision.","2693-2865","978-1-6654-2207-9","10.1109/ITAIC54216.2022.9836536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9836536","Minimum spanning tree;clock synchronization;Beidou navigation satellite system;power internet of thing","Protocols;Network topology;Power system stability;Real-time systems;Power grids;Planning;Delays","","","","9","IEEE","3 Aug 2022","","","IEEE","IEEE Conferences"
"A Smart Home Agriculture System Based on Internet of Things","V. K. Akram; M. Challenger","International Computer Institute, Ege University, Izmir, Bornova; University of Antwerp and Flanders Make, Flanders, Belgium","2021 10th Mediterranean Conference on Embedded Computing (MECO)","1 Jul 2021","2021","","","1","4","Internet of Things (IoT) has a growing application in agriculture and smart farming. Different monitoring, controlling and tracking systems have been proposed for increasing the efficiency and quality of agricultural products. While most of the existing systems focus on industrial farming, many people would like to create their own small-scale farms at home to produce organic products for their daily consumption. However, due to the lack of agricultural knowledge and infrastructures, people usually unable to produce healthy agricultural products at home. This paper proposes an IoT-based system for home agriculture to create small-scale farms in indoor locations. The proposed system uses ESP-32 devices and connected sensors to measure different quantities of the soil and air conditions to create a more suitable environment for growing the plants. Using the mobile application, the users can connect and configure the sensing devices over Bluetooth connections. The sensed data are sent to a web server over a WiFi connection. The web server stores the received data and provides real-time reports about the environment and plants. Based on the received data and the plant requirements, the webserver may send notification messages to the user's mobile phone.","2637-9511","978-1-6654-3912-1","10.1109/MECO52532.2021.9460276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9460276","Internet of Things;Embedded Systems;Web Application;Smart Agriculture","Soil measurements;Smart homes;Soil;Web servers;Agricultural products;Sensor systems;Real-time systems","","2","","17","IEEE","1 Jul 2021","","","IEEE","IEEE Conferences"
"Deep Actor–Critic Learning-Based Robustness Enhancement of Internet of Things","N. Chen; T. Qiu; C. Mu; M. Han; P. Zhou","School of Computer Science and Technology, College of Intelligence and Computing, and the Tianjin Key Laboratory of Advanced Networking, Tianjin University, Tianjin, China; School of Computer Science and Technology, College of Intelligence and Computing, and the Tianjin Key Laboratory of Advanced Networking, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Faculty of Electronic Information and Electrical Engineering, Dalian University of Technology, Dalian, China; School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China","IEEE Internet of Things Journal","10 Jul 2020","2020","7","7","6191","6200","The extensive applications in the Internet of Things (IoT) have inspired a growing network scale. However, due to the resource-limited IoT devices and the numerous cyber attacks against applications, maintaining the robustness and communication capabilities for the applications is increasingly challenging. In this article, we consider IoT network topologies that provide robust communication for heterogeneous networks and study the networking stability of IoT devices and the intelligent evolution computing in network architectures. We explicate the network robustness problem both for the network architecture and the resistance to cyber attacks. For the network architecture, we optimize the robustness of IoT network topology with a scale-free network model which has good performance in random attacks. In the case with the resistance to cyber attacks, a deep deterministic learning policy (DDLP) algorithm is proposed to improve the stability for large-scale IoT applications. Simulations show that the proposed algorithms greatly advance the robustness of IoT network topology compared to other algorithms, with a less computational cost.","2327-4662","","10.1109/JIOT.2019.2963499","National Natural Science Foundation of China(grant numbers:61672131,61773284,61773087,61972448); Innovation Foundation of Tianjin University and Tianjin Key Laboratory of Advanced Networking; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948047","Deep neural network;Internet of Things (IoT);networking evolution;reinforcement learning;robustness optimization","Network topology;Internet of Things;Topology;Robustness;Reinforcement learning;Computational modeling;Optimization","","15","","31","IEEE","1 Jan 2020","","","IEEE","IEEE Journals"
"Design of Wearable Reconfigurable Antenna for IoT Applications","N. Haritha; E. Gowsika; P. Elangovan; K. Jayamani","Electronics And Communication Engineering, Rajalakshmi Institute Of Technology, Chennai, India; Electronics And Communication Engineering, Rajalakshmi Institute Of Technology, Chennai, India; Electronics And Communication Engineering, Rajalakshmi Institute Of Technology, Chennai, India; Electronics And Communication Engineering, Rajalakshmi Institute Of Technology, Chennai, India","2021 International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)","18 Jan 2022","2021","","","1","5","Internet of things (IOT) basically provides a platform for devices to interact and collaborate with each other. Wearable antennas are a recent invention in antenna technology. These wearable antennas are playing an important role in applications such as the Internet of Things, energy harvesting systems, health care, and military applications. Antenna with a Wearable Reconfigurable Design is anticipated in this paper. This antenna is capable to reconFigure the frequency from one to another depending upon the requirement. The proposed design is a relatively tiny size of 40mm x 55mm, which is suitable for small-scale applications. Three switches are used to achieve four different operating frequencies. Roger 6002 is used as the substrate with dielectric value of 2.94. The resonation frequency is found between 2.5 GHz to 14.9 GHz.","","978-1-6654-2829-3","10.1109/ICAECA52838.2021.9675735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9675735","Wearable antenna;IoT;Switches;Frequency Reconfiguration","Time-frequency analysis;Technological innovation;Wearable computers;Resonant frequency;Medical services;Dielectric resonator antennas;Telecommunication computing","","2","","9","IEEE","18 Jan 2022","","","IEEE","IEEE Conferences"
"Optimizing Efficient Personalized Federated Learning with Hypernetworks at Edge","R. Zhang; Y. Chen; C. Wu; F. Wang; J. Liu","Chinese University of Hong Kong, China; Chinese University of Hong Kong, China; Chinese University of Hong Kong, China; Chinese University of Hong Kong, China; Simon Fraser University, Canda","IEEE Network","24 Oct 2023","2023","37","4","120","126","The recent advances in 5G and mobile edge computing facilitate the rapid development of the Internet of Things (IoT), enabling collective intelligence with data support from a massive number of IoT devices. Meanwhile, federated learning (FL) has emerged as a promising solution for collaborative training while preserving user privacy, which, however, is prone to poor learning performance in large-scale IoT scenarios. On the one hand, due to the task heterogeneity in various IoT scenarios and data heterogeneity (non-IID) across different IoT clients, more than traditional FL models derived from a Uniform FL (UFL) learning architecture are required to satisfy the diversified demands of each client. On the other hand, with the proliferation of IoT devices, achieving low latency and low communication costs with traditional FL architectures becomes even more challenging. In this article, we argue that customizing a specific model for each client is an urgent requirement, calling for the development of UFL to Personalized FL (PFL). In addition, the confluence of PFL and edge computing further provides opportunities for practical implementation in the 5G IoT environment. Accordingly, we propose EdgeFHN, an edge computing-based personalized federated learning framework, which can strike a balance between collaborative FL training among different clients and efficient model personalization for each client. Experiments on image classification demonstrate the superiority of our framework in improving accuracy and reducing communication overhead compared with other state-of-the-art solutions.","1558-156X","","10.1109/MNET.008.2200654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10293196","","Training;Federated learning;5G mobile communication;Smart cities;Image edge detection;Computational modeling;Collaboration;Machine learning","","","","15","IEEE","24 Oct 2023","","","IEEE","IEEE Magazines"
"Multi-Level IoT Device Identification","R. Jiao; Z. Liu; L. Liu; C. Ge; G. Hancke","Nanjing University of Aeronautics and Astronautics, Jiangsu, China; Nanjing University of Aeronautics and Astronautics, Jiangsu, China; Nanjing University of Aeronautics and Astronautics, Jiangsu, China; Nanjing University of Aeronautics and Astronautics, Jiangsu, China; City University of Hong Kong, Hong Kong, China","2021 IEEE 27th International Conference on Parallel and Distributed Systems (ICPADS)","3 May 2022","2021","","","538","547","The rapid development of the Internet of Things (IoT) has brought challenges to IoT platforms for high-efficiency deployments and low-budget management. Identifying IoT devices is the prerequisite for monitoring, protecting, and managing them. Considering different providers and IoT device renovation, centralized device identification solutions require large amounts of training data and frequent model updates. Traditional solutions based on machine learning cannot preserve identification precision for the long term at a low cost in reality. In this paper, we propose a multi-level IoT device identification framework, alleviating the problem of novel class detection and large-scale updating of IoT models in IoT device identification. The proposed framework improves the usability of device identification technology in the real world. We also designed an IoT device identification method, achieving an average identification accuracy of 93.37 %. With this proposed multi-level IoT device identification framework, IoT device identification can achieve a high precision over a long time.","2690-5965","978-1-6654-0878-3","10.1109/ICPADS53394.2021.00073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763819","Devices Identification;IoT Security;Device Fingerprinting","Performance evaluation;Training data;Software;Object recognition;Internet of Things;Task analysis;Usability","","2","","27","IEEE","3 May 2022","","","IEEE","IEEE Conferences"
"“IoT Based Battery Monitoring System”","M. S. Kale; B. N. Chaudhari","Electrical Engineering Department, P.E.S College of Engineering, Aurangabad, (MS), India; Electrical Engineering Department, P.E.S College of Engineering, Aurangabad, (MS), India","2022 International Conference on Advances in Computing, Communication and Materials (ICACCM)","12 Jan 2023","2022","","","1","5","Batteries are a need in modern life due to their versatility. Today's world's extensive use of gadgets necessitates the use of batteries. We believe that the most promising chemical storage technology for large-scale energy storage currently exists in the form of lead-acid batteries. When surge current is not necessary, lead-acid batteries are frequently utilized, and because they are less expensive than newer technologies, different designs may provide higher energy densities. Large-format lead-acid designs are utilized in stand-alone power systems, high-availability environments like hospitals, and backup power supplies in mobile phone towers etc. Because of their numerous uses and capacity to power a variety of devices, these batteries are crucial. To extend storage times and cut down on maintenance expenses, modified versions of the traditional cell may be used in a variety of applications. The VRLA (valve-regulated lead-acid) battery family, which includes gel-cell and absorbed glass-mat batteries, is frequently employed for these activities. Battery Management Systems (BMS) are used in numerous commercial and industrial systems to optimize battery performance and predict how long a battery will last in a non-destructive state. For this aim, a variety of monitoring systems are used to keep an eye on the battery's charge, temperature, and current. The Building Management System (BMS) of a data center is a crucial element. It offers centralized control of crucial infrastructure components and guarantees efficient and safe operation of operations. By utilizing current network infrastructures to transform physical resources into intelligent entities, the Internet of Things (IoT) acts as a technical tool for professionals. Its fundamental objective is to provide users with smooth, intelligent services without any downtime. This paper is aimed to developed a prototype for the modular battery management system and monitored it using the IoT-based protocol.","2642-7354","978-1-6654-7439-9","10.1109/ICACCM56405.2022.10009576","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10009576","Internet of Things (IoT);battery Management System (BMS);State of Charge (SOC);State of Health (SOH)","Lead acid batteries;Temperature sensors;Temperature measurement;Wireless LAN;Temperature;Prototypes;Battery management systems","","2","","22","IEEE","12 Jan 2023","","","IEEE","IEEE Conferences"
"An Efficient Blockchain-based Firmware Update Framework for IoT Environment","M. -H. Tsai; Y. -C. Hsu; N. -W. Lo","Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan","2020 15th Asia Joint Conference on Information Security (AsiaJCIS)","10 Sep 2020","2020","","","121","127","Recently, massive deployment of Internet of Things (IoT) devices has accelerated digital transformation of modern society in various aspects. Naturally, how to ensure security of deployed IoT devices has become an important and practical issue. Several successful large-scale DDoS attacks were utilized vulnerabilities of firmware on IoT devices in the past couple of years. Therefore, effective and efficient firmware update solution on IoT devices is in demand. In this study, an automatic real-time firmware update framework based on blockchain technology and MQTT protocol is proposed. To support automatic real-time firmware update operation on deployed IoT devices, multiple MQTT servers are installed in corresponding blockchain nodes to execute firmware patch delivery operation by the design of our framework. Blockchain technology is used to record the original manufacturer of a published firmware patch for a dedicated IoT device and smart contract is adopted to discover MQTT service nodes in a blockchain network. Data integrity of a newly generated firmware patch is preserved by distributing the patch with its hashed value. A framework prototype is constructed and experiments are conducted. Based on the experimental results, the proposed framework can efficiently and securely deliver firmware patches to targeted gateways in real-time scale.","","978-1-7281-9922-1","10.1109/AsiaJCIS50894.2020.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194134","firmware update;blockchain technology;smart contract;MQTT","Microprogramming;Logic gates;Contracts;Servers;Real-time systems;Portals","","2","","9","IEEE","10 Sep 2020","","","IEEE","IEEE Conferences"
